T/R,Yordamchi so'z,Turkumi,Xalqaro tegi,O'zbekcha tegi,sof/vazifadosh,shakli,ma'no turi ,uslubiy xoslanishi,sof  turkumi, Yordamchi so'z ishtirok etgan gaplar va olingan manbaa.
1, -a   I ,yuklama,part,Yukl,sof yukl,qo'shimchasimon,so'roq,so'zlashuv,," - Qizim, bugun mehmonlaringni Sultonxonlarnikiga olib chiqasan-a?  Cho'lpon, Kecha va kunduz."
2, -a   II,bog'lovchi,bog'l,Bog'l,vaz.bog'l,qo'shimchasimon,zidlov ,so'zlashuv,yuklama,"""Xo'sh, va'dang qancha? - ""Qirq sentnerdan"". ""A qizlar-chi?"" - ""Yuz"". Oybek, Oltin vodiydan shabadalar."
3,Agar I,yuklama,part,Yukl,sof yukl,so'z shaklda,shart,betaraf,bog'lovchi,"Agar u kelgan bo'lsa, o'zini bildirgan bo'lar edi.Oybek. Tanlangan asarlar"
4,Agar II,bog'lovchi,conj,Bog'l,vaz.bog'l,so'z shaklda,shart,betaraf,yuklama,"Agar arqondan qo'llari chiqib ketsa, to tuman tarqalguncha yo'l topa olmay sarson bo'lib yuraveradilar.S.Ahmad."
5,Agarchi,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,shart,badiiy,,"Agarchi sensizin sabr aylamak, ey yor, mushkuldur. Z.M.Bobur."
6,Agarda,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,shart,so'zlashuv,,Agarda avval boshdanoq kattalarning gapiga quloq tutganimizda bunday ayanchli holga tushmasdik.
7,Ayni,yuklama,part,Yukl,vaz.yukl,so'z shaklda,o'xshatish,so'zlashuv,olmosh,"Chol ayni savolni Matyunusga ham berdi M.Ismoiliy, Farg'ona tong otguncha."
8,Aynan ,yuklama,part,Yukl,sof yukl,so'z shaklda,o'xshatish,so'zlashuv,ravish,Otasining aynan o'zi.
9,Ammo,bog'lovchi,conj,Bog'l,sof bog'l,so'z shaklda,zidlov ,kitobiy,,"Mayli , siz yashirdingiz. Ammo men yashirmayman."
10,Ammo II ,yuklama,part,Yukl,vaz.yukl,so'z shaklda,ta'kid ,so'zlashuv,bog'l,Ammo rossa vaqtida kelibmiz-da.
